01	18228960000.000000	17515200000.000000	20499000000.000000
02	17459005000.000000	16861100000.000000	17907300000.000000
04	17206405000.000000	16857600000.000000	17787300000.000000
06	18245175000.000000	17609800000.000000	19452000000.000000
08	17032180000.000000	16561900000.000000	17370100000.000000
10	17058160000.000000	16686300000.000000	17414000000.000000
12	17009465000.000000	16641000000.000000	17302800000.000000
14	18100695000.000000	17466500000.000000	20096300000.000000
16	17176505000.000000	16571000000.000000	18528900000.000000
18	17487085000.000000	16881400000.000000	17888700000.000000
20	17987480000.000000	17337900000.000000	19286000000.000000
