01	35726100000.000000	34704100000.000000	36835200000.000000
02	37659000000.000000	37650200000.000000	37660200000.000000
04	37528025000.000000	37392200000.000000	37658300000.000000
06	37585195000.000000	36803800000.000000	37655900000.000000
08	37484795000.000000	36580500000.000000	37658700000.000000
10	37508830000.000000	37214600000.000000	37660000000.000000
12	37587495000.000000	37327700000.000000	37661100000.000000
14	37246970000.000000	35491500000.000000	37660200000.000000
16	36399475000.000000	32848500000.000000	37657200000.000000
18	36658320000.000000	34192400000.000000	37653700000.000000
20	35839900000.000000	33249100000.000000	37603800000.000000
