01	19342875000.000000	17819500000.000000	20255100000.000000
02	18418890000.000000	12783500000.000000	19514700000.000000
04	19028880000.000000	17371500000.000000	19872600000.000000
06	18922845000.000000	17547600000.000000	20631200000.000000
08	18777425000.000000	16502400000.000000	19763800000.000000
10	18363430000.000000	16806600000.000000	19537800000.000000
12	18968350000.000000	16769600000.000000	19891500000.000000
14	19793440000.000000	17276500000.000000	28223500000.000000
16	17968495000.000000	12222900000.000000	19991500000.000000
18	22371970000.000000	17373500000.000000	32019400000.000000
20	19137485000.000000	17649600000.000000	20466900000.000000
