01	37507350000.000000	36805100000.000000	37659800000.000000
02	37622915000.000000	37451300000.000000	37659600000.000000
04	36734205000.000000	36029700000.000000	37289900000.000000
06	37601625000.000000	37256600000.000000	37659700000.000000
08	37620635000.000000	37450100000.000000	37659500000.000000
10	35610360000.000000	34457000000.000000	36681900000.000000
12	35954555000.000000	34634500000.000000	37042900000.000000
14	37496470000.000000	36562500000.000000	37659800000.000000
16	36024050000.000000	33721400000.000000	37660000000.000000
18	35505440000.000000	33841700000.000000	37206900000.000000
20	35635885000.000000	34366900000.000000	37130700000.000000
