01	15954305000.000000	14840200000.000000	17131000000.000000
02	24152100000.000000	14077500000.000000	28968500000.000000
04	24867220000.000000	19782000000.000000	27513300000.000000
06	25987865000.000000	23653400000.000000	27635600000.000000
08	26316665000.000000	23450800000.000000	29599200000.000000
10	26065810000.000000	24024500000.000000	30807000000.000000
12	25451430000.000000	24746200000.000000	26432400000.000000
14	25183900000.000000	23956300000.000000	28776400000.000000
16	24571705000.000000	23505300000.000000	29206100000.000000
18	24540380000.000000	22652300000.000000	29767400000.000000
20	24229935000.000000	22120600000.000000	27098700000.000000
