01	35931490000.000000	33555900000.000000	37659000000.000000
02	36791765000.000000	32533900000.000000	37659900000.000000
04	37644880000.000000	37527700000.000000	37661300000.000000
06	37623925000.000000	37005600000.000000	37660300000.000000
08	37654595000.000000	37573800000.000000	37660900000.000000
10	37561655000.000000	36035200000.000000	37660200000.000000
12	37620765000.000000	36901700000.000000	37661200000.000000
14	37563330000.000000	36558200000.000000	37660300000.000000
16	37473320000.000000	35290300000.000000	37662700000.000000
18	37181960000.000000	35792400000.000000	37661100000.000000
20	36993705000.000000	35628100000.000000	37658800000.000000
