01	36749215000.000000	34882700000.000000	37748100000.000000
02	37468310000.000000	36954500000.000000	37762100000.000000
04	37725360000.000000	37537600000.000000	37748800000.000000
06	37725090000.000000	37629800000.000000	37748200000.000000
08	37731480000.000000	37718100000.000000	37740500000.000000
10	37546565000.000000	34100900000.000000	37730600000.000000
12	37527480000.000000	35491200000.000000	37730100000.000000
14	37662575000.000000	37040600000.000000	37728400000.000000
16	37588815000.000000	35397600000.000000	37725100000.000000
18	37388180000.000000	35565500000.000000	37712500000.000000
20	37143060000.000000	35377700000.000000	37710000000.000000
