01	16277740000.000000	15214500000.000000	17732100000.000000
02	21627350000.000000	13628000000.000000	27670500000.000000
04	26010620000.000000	19965400000.000000	29755800000.000000
06	28904035000.000000	24303000000.000000	33395700000.000000
08	28929065000.000000	27624100000.000000	32374800000.000000
10	28813975000.000000	27411600000.000000	31468000000.000000
12	28486400000.000000	26601700000.000000	31266200000.000000
14	27367520000.000000	25689300000.000000	31359000000.000000
16	25956425000.000000	25137300000.000000	26710700000.000000
18	24599890000.000000	22712600000.000000	26255400000.000000
20	24585250000.000000	22152800000.000000	29081300000.000000
