      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2017-09-03 15:24:48,   8386,      29.98,      134176,       0.18,      279.72,     4475.52,       49.83,    8386,       0
2017-09-03 15:26:28,   8393,      29.98,      134288,       0.18,      279.95,     4479.25,       49.89,    8393,       0
2017-09-03 15:28:08,   8384,      29.98,      134144,       0.18,      279.65,     4474.45,       49.77,    8384,       0
2017-09-03 15:29:48,   8391,      29.98,      134256,       0.18,      279.89,     4478.19,       49.80,    8391,       0
2017-09-03 15:31:28,   8387,      29.98,      134192,       0.18,      279.75,     4476.05,       49.83,    8387,       0
2017-09-03 15:33:08,   8390,      29.98,      134240,       0.18,      279.85,     4477.65,       49.84,    8390,       0
2017-09-03 15:34:48,   8382,      29.98,      134112,       0.18,      279.59,     4473.38,       49.67,    8382,       0
2017-09-03 15:36:28,   8394,      29.98,      134304,       0.18,      279.99,     4479.79,       49.85,    8394,       0
2017-09-03 15:38:08,   8391,      29.98,      134256,       0.18,      279.89,     4478.19,       49.80,    8391,       0
2017-09-03 15:39:48,   8394,      29.98,      134304,       0.18,      279.99,     4479.79,       49.85,    8394,       0
2017-09-03 15:41:28,   8393,      29.98,      134288,       0.18,      279.95,     4479.25,       49.89,    8393,       0
2017-09-03 15:43:08,   8387,      29.98,      134192,       0.18,      279.75,     4476.05,       49.77,    8387,       0
2017-09-03 15:44:48,   8389,      29.98,      134224,       0.18,      279.82,     4477.12,       49.78,    8389,       0
2017-09-03 15:46:28,   8387,      29.98,      134192,       0.18,      279.75,     4476.05,       49.82,    8387,       0
2017-09-03 15:48:08,   8383,      29.98,      134128,       0.18,      279.62,     4473.92,       49.68,    8383,       0
2017-09-03 15:49:48,   8390,      29.98,      134240,       0.18,      279.85,     4477.65,       49.86,    8390,       0
2017-09-03 15:51:28,   8389,      29.98,      134224,       0.18,      279.82,     4477.12,       49.75,    8389,       0
2017-09-03 15:53:08,   8388,      29.98,      134208,       0.18,      279.79,     4476.58,       49.74,    8388,       0
2017-09-03 15:54:48,   8386,      29.98,      134176,       0.18,      279.72,     4475.52,       49.80,    8386,       0
2017-09-03 15:56:28,   8389,      29.98,      134224,       0.18,      279.82,     4477.12,       49.77,    8389,       0
