#Size	AvgBps	MidBps	AvgMps	MidMps
64	2927559188.21	2941250452.48	5717889.04	5744629.79
128	3477441878.17	3496137352.58	3395939.33	3414196.63
256	6735783627.55	6733441002.81	3288956.85	3287812.99
512	9790624889.75	9186500742.94	2390289.29	2242798.03
1K	13132566931.11	13275200588.77	1641570.87	1659400.07
2K	15186346738.03	15536626752.99	949146.67	971039.17
4K	15566232678.24	15878441481.56	486444.77	496201.30
8K	16218325768.00	17150143591.96	253411.34	267970.99
16K	20055965117.32	20654756643.14	156687.23	161365.29
32K	24888002449.36	24870376462.52	97218.76	97149.91
64K	19883385809.97	17576982112.02	38834.74	34330.04
128K	18249254628.27	18119381285.17	17821.54	17694.71
256K	18457750117.32	19012187073.78	9012.57	9283.29
1M	23678055081.13	24734614861.57	2959.76	3091.83
4M	20204562822.38	21374803011.03	631.39	667.96
16M	29121446710.75	30333846296.91	227.51	236.98
64M	26921621681.45	27134453336.16	52.58	53.00
