#Size	AvgBps	MidBps	AvgMps	MidMps
64	2716839640.47	2740953887.54	5306327.41	5353425.56
128	3253257355.05	3284410973.40	3177009.14	3207432.59
256	5686552848.24	5719162748.28	2776637.13	2792559.94
512	8176525942.57	8233576167.73	1996222.15	2010150.43
1K	10070603109.66	10201331705.45	1258825.39	1275166.46
2K	14319185878.82	15767008542.39	894949.12	985438.03
4K	15659486224.28	16594782692.17	489358.94	518586.96
8K	18874653936.20	18631623365.85	294916.47	291119.11
16K	15483262871.82	15921149325.76	120962.99	124383.98
32K	21023568018.78	21634282331.67	82123.31	84508.91
64K	20026871683.49	18959322277.95	39114.98	37029.93
128K	17202513790.92	17007296423.58	16799.33	16608.69
1M	17890919670.44	17830680529.64	2236.36	2228.84
2M	19598809476.28	20030858241.08	1224.93	1251.93
4M	18990794569.53	19294533615.44	593.46	602.95
8M	18776647960.01	19006878594.16	293.39	296.98
16M	18308280674.38	18558589547.19	143.03	144.99
32M	18630972075.89	18942314134.04	72.78	73.99
64M	17750008581.56	18430543987.03	34.67	36.00
